"順位","管理No","合計スコア"
"430","KA150054","567"
"431","TK150012","567"
"432","KA020008","567"
"433","CH040021","567"
"434","IB070052","567"
"435","TC040006","567"
"436","IB040289","567"
"437","KA110152","567"
"438","SA020002","567"
"439","TK090005","566"
"440","CH040229","566"
"441","KA020053","566"
"442","NA060023","565"
"443","KA160165","565"
"444","KA070171","565"
"445","IB080020","565"
"446","TK060176","565"
"447","YA010030","565"
"448","GU030106","565"
"449","NA060028","565"
"450","KA160153","565"
"451","KA080057","564"
"452","GU010003","564"
"453","CH010002","564"
"454","TK060105","564"
"455","KA110105","564"
"456","IB050004","564"
"457","KA110099","564"
"458","IB070016","564"
"459","IB050017","564"
"460","SA130012","564"
"461","KA110119","564"
"462","CH040150","564"
"463","IB100078","564"
"464","CH020018","563"
"465","CH040207","563"
"466","KA150143","563"
"467","GU030144","563"
"468","KA160119","563"
"469","IB050025","563"
"470","TK050178","563"
"471","KA070109","562"
"472","IB040299","562"
"473","CH040210","562"
"474","GU040056","562"
"475","CH040226","562"
"476","TK040108","562"
"477","TC030034","562"
"478","TK060001","562"
"479","SA022004","562"
"480","CH040109","562"
"481","GU050018","562"
"482","SA050005","562"
"483","KA100005","561"
"484","NA060002","561"
"485","IB100077","561"
"486","KA150022","561"
"487","KA160181","561"
"488","IB040103","561"
"489","GU020074","561"
"490","KA150048","561"
"491","IB090012","561"
"492","KA180034","561"
"493","KA110110","561"
"494","KA110048","561"
"495","SA130016","561"
"496","NA060015","561"
"497","KA150078","561"
"498","TK090011","560"
"499","CH040043","560"
"500","SA020022","560"
"501","SA020019","560"
"502","IB050026","560"
"503","SA020025","560"
"504","YA010011","560"
"505","CH040175","560"
"506","GU020123","560"
"507","KA030011","559"
"508","IB070008","559"
"509","KA080056","559"
"510","IB070007","559"
"511","IB070046","559"
"512","NA060026","559"
"513","KA160172","559"
"514","TC040003","559"
"515","NA030015","559"
"516","KA110045","559"
"517","KA150136","558"
"518","IB040254","558"
"519","KA010028","558"
"520","IB100074","558"
"521","KA070113","558"
"522","KA160141","558"
"523","IB010029","558"
"524","KA160034","558"
"525","SA020023","558"
"526","CH040092","558"
"527","YA040027","558"
"528","KA120040","557"
"529","KA160006","557"
"530","CH040137","557"
"531","IB020003","557"
"532","GU030085","557"
"533","NA060022","556"
"534","KA160114","556"
"535","GU010034","556"
"536","KA020077","556"
"537","KA020017","556"
"538","CH040099","556"
"539","KA110013","555"
"540","KA110115","555"
"541","KA160048","555"
"542","CH040042","555"
"543","KA110133","555"
"544","IB080082","555"
"545","NA030053","555"
"546","KA070155","555"
"547","TK060194","555"
"548","GU020049","555"
"549","KA020029","555"
"550","KA160137","555"
"551","NA060031","555"
"552","IB080017","554"
"553","TK090006","554"
"554","IB040058","554"
"555","CH040103","554"
"556","KA110008","554"
"557","KA020033","554"
"558","TK040185","554"
"559","CH040020","553"
"560","KA110036","553"
"561","KA010072","553"
"562","KA080121","553"
"563","TK130054","553"
"564","KA020048","553"
"565","CH010043","553"
"566","TK130010","553"
"567","TK040126","553"
"568","KA150001","553"
"569","NA030041","553"
"570","TK060337","553"
"571","IB050022","553"
"572","IB070068","553"
"573","TK040092","553"
"574","IB050013","553"
"575","IB050070","553"
"576","KA110086","552"
"577","KA070120","552"
"578","IB010001","552"
"579","CH040091","552"
"580","NA030032","552"
"581","TK060305","552"
"582","NA030059","552"
"583","KA070136","552"
"584","IB100048","551"
"585","KA120034","551"
"586","KA020018","551"
"587","KA170009","551"
"588","KA160056","551"
"589","TK130035","551"
"590","KA070102","551"
"591","IB080011","551"
"592","KA150024","551"
"593","KA110101","551"
"594","IB020005","551"
"595","TK060307","550"
"596","TK060356","550"
"597","KA010042","550"
"598","KA080069","550"
"599","KA030001","550"
"600","KA180308","550"
"601","IB010019","550"
"602","KA070140","550"
"603","TK060065","550"
"604","KA150030","550"
"605","SA050014","550"
"606","IB070055","550"
"607","KA160101","550"
"608","IB050007","550"
"609","KA150071","549"
"610","SA130021","549"
"611","KA160039","549"
"612","KA110114","549"
"613","CH010031","549"
"614","CH040030","549"
"615","KA110196","549"
"616","KA160117","549"
"617","CH040084","548"
"618","KA070052","548"
"619","NA060004","548"
"620","KA160149","548"
"621","KA070032","548"
"622","KA110132","548"
"623","YA010048","548"
"624","YA010075","548"
"625","KA110014","548"
"626","CH040163","548"
"627","IB080077","548"
"628","KA110177","548"
"629","IB100033","548"
"630","TK040123","547"
"631","KA020066","547"
"632","IB100051","547"
"633","YA010012","547"
"634","KA150140","547"
"635","KA010099","547"
"636","KA110063","547"
"637","TK060022","547"
"638","KA070179","547"
"639","YA040010","547"
"640","IB070029","547"
"641","KA010198","546"
"642","GU050006","546"
"643","IB040275","546"
"644","SA020007","546"
"645","TK130015","546"
"646","TK130086","546"
"647","TK060306","545"
"648","IB080057","545"
"649","CH010005","545"
"650","TK040002","545"
"651","KA150043","545"
"652","KA020052","545"
"653","SA050018","545"
"654","KA160154","545"
"655","KA160025","545"
"656","SA020024","545"
"657","KA110128","545"
"658","TK130028","545"
"659","SA020018","544"
"660","IB080069","544"
"661","TK060355","544"
"662","CH010049","544"
"663","IB080046","544"
"664","KA070116","544"
"665","TK040091","544"
"666","KA070033","544"
"667","IB040376","544"
"668","KA020055","544"
"669","CH040147","544"
"670","KA160161","544"
"671","KA110025","543"
"672","IB040139","543"
"673","GU040030","543"
"674","KA010154","543"
"675","TK130012","543"
"676","KA010039","543"
"677","YA010076","543"
"678","IB020014","543"
"679","CH040176","543"
"680","KA120049","543"
"681","KA160071","543"
"682","KA160065","543"
"683","KA070036","542"
"684","KA010159","542"
"685","YA010045","542"
"686","CH040052","542"
"687","NA060041","542"
"688","IB070013","542"
"689","KA150060","542"
"690","CH020011","542"
"691","NA060025","541"
"692","TK060286","541"
"693","KA150120","541"
"694","NA060007","541"
"695","TK040190","541"
"696","CH040168","541"
"697","IB040365","541"
"698","IB040013","541"
"699","KA150007","541"
"700","IB090008","541"
"701","KA020011","541"
"702","KA010041","540"
"703","CH040228","540"
"704","NA060038","540"
"705","KA150122","540"
"706","KA150121","540"
"707","TK090007","540"
"708","SA030002","540"
"709","TK040191","540"
"710","KA110006","540"
"711","KA150033","540"
"712","TC040013","540"
"713","KA070030","540"
"714","GU050016","540"
"715","YA040030","539"
"716","YA010073","539"
"717","SA050008","539"
"718","TK060230","539"
"719","IB080064","539"
"720","KA010002","539"
"721","CH010048","539"
"722","IB070043","539"
"723","IB040187","539"
"724","KA120038","539"
"725","KA110102","539"
"726","KA150002","538"
"727","CH010057","538"
"728","KA120035","538"
"729","IB100061","538"
"730","IB100052","538"
"731","KA110024","538"
"732","SA020015","538"
"733","IB010038","538"
"734","IB040392","538"
"735","KA160162","538"
"736","KA020005","538"
"737","TK050046","538"
"738","TK130044","538"
"739","KA120053","537"
"740","KA110151","537"
"741","KA160193","537"
"742","IB100002","537"
"743","KA110202","537"
"744","KA120004","537"
