"順位","管理No","合計スコア"
"750","TK060001","562"
"751","SA022004","562"
"752","CH040109","562"
"753","GU050018","562"
"754","NA060076","562"
"755","IB050050","562"
"756","IB040428","562"
"757","SA050005","562"
"758","CH040356","561"
"759","KA100005","561"
"760","NA060002","561"
"761","IB100077","561"
"762","KA150022","561"
"763","KA160181","561"
"764","KA010203","561"
"765","IB040103","561"
"766","GU020074","561"
"767","KA150048","561"
"768","IB090012","561"
"769","KA180034","561"
"770","KA110110","561"
"771","KA110048","561"
"772","IB010053","561"
"773","SA130016","561"
"774","NA060015","561"
"775","CH040371","561"
"776","KA150078","561"
"777","TK150043","560"
"778","TK090011","560"
"779","CH040043","560"
"780","SA020022","560"
"781","SA020019","560"
"782","IB050026","560"
"783","KA070295","560"
"784","SA020025","560"
"785","IB040625","560"
"786","CH040350","560"
"787","YA010011","560"
"788","TK130148","560"
"789","CH040175","560"
"790","GU020123","560"
"791","KA030011","559"
"792","IB050052","559"
"793","KA010220","559"
"794","IB070008","559"
"795","CH040333","559"
"796","KA080056","559"
"797","KA080209","559"
"798","KA080209","559"
"799","IB070007","559"
"800","KA110280","559"
"801","IB070046","559"
"802","NA060026","559"
"803","CH040317","559"
"804","KA160172","559"
"805","TC040003","559"
"806","KA160261","559"
"807","NA030015","559"
"808","KA110045","559"
"809","KA150136","558"
"810","IB040254","558"
"811","KA010028","558"
"812","GU020145","558"
"813","IB100074","558"
"814","KA070113","558"
"815","IB010057","558"
"816","IB010058","558"
"817","KA160141","558"
"818","IB010029","558"
"819","KA160034","558"
"820","SA020023","558"
"821","CH040092","558"
"822","YA040027","558"
"823","TC030058","557"
"824","KA120040","557"
"825","TK130153","557"
"826","CH040277","557"
"827","KA160006","557"
"828","SA010070","557"
"829","CH040137","557"
"830","IB020003","557"
"831","GU030085","557"
"832","NA060022","556"
"833","IB020026","556"
"834","KA160114","556"
"835","GU020295","556"
"836","GU020144","556"
"837","GU010034","556"
"838","KA020077","556"
"839","KA160091","556"
"840","KA160288","556"
"841","KA020017","556"
"842","IB080100","556"
"843","KA080175","556"
"844","IB050044","556"
"845","CH040099","556"
"846","CH040298","555"
"847","KA110013","555"
"848","YA040064","555"
"849","TC030059","555"
"850","IB040504","555"
"851","KA110115","555"
"852","KA070271","555"
"853","KA160048","555"
"854","YA010095","555"
"855","CH040042","555"
"856","KA080173","555"
"857","KA070230","555"
"858","KA110133","555"
"859","IB080082","555"
"860","NA030053","555"
"861","KA070155","555"
"862","TK060194","555"
"863","GU020049","555"
"864","SA020033","555"
"865","KA020029","555"
"866","KA160137","555"
"867","NA060031","555"
"868","KA140033","554"
"869","IB050048","554"
"870","IB080017","554"
"871","GU010087","554"
"872","TK090006","554"
"873","CH040324","554"
"874","IB100085","554"
"875","IB020036","554"
"876","IB040058","554"
"877","CH040103","554"
"878","KA110008","554"
"879","KA020033","554"
"880","TK040185","554"
"881","CH040020","553"
"882","KA110036","553"
"883","KA010072","553"
"884","KA080121","553"
"885","TK130054","553"
"886","NA060082","553"
"887","KA020048","553"
"888","CH010043","553"
"889","IB040533","553"
"890","KA070320","553"
"891","TK130010","553"
"892","TK040126","553"
"893","KA150001","553"
"894","IB040561","553"
"895","GU020147","553"
"896","NA030041","553"
"897","TK060337","553"
"898","KA140009","553"
"899","IB050022","553"
"900","IB070068","553"
"901","TK040092","553"
"902","IB050013","553"
"903","IB050070","553"
"904","KA110086","552"
"905","NA030083","552"
"906","KA070120","552"
"907","TK040213","552"
"908","IB010001","552"
"909","KA040039","552"
"910","CH040091","552"
"911","NA030032","552"
"912","TK060305","552"
"913","IB010049","552"
"914","CH040312","552"
"915","IB040583","552"
"916","IB050045","552"
"917","NA030098","552"
"918","TK130142","552"
"919","KA110204","552"
"920","KA010221","552"
"921","NA030059","552"
"922","KA070136","552"
"923","IB100048","551"
"924","KA120034","551"
"925","KA010269","551"
"926","KA020018","551"
"927","KA170009","551"
"928","TK06０121","551"
"929","KA160056","551"
"930","TK130035","551"
"931","KA070102","551"
"932","IB080011","551"
"933","TK050071","551"
"934","TC030067","551"
"935","KA150024","551"
"936","KA110101","551"
"937","IB020005","551"
"938","TK130167","551"
"939","IB090040","551"
"940","CH040245","551"
"941","KA040025","551"
"942","KA110310","550"
"943","KA070392","550"
"944","TK060307","550"
"945","TK130149","550"
"946","TK060356","550"
"947","KA010042","550"
"948","KA080069","550"
"949","KA010253","550"
"950","KA030001","550"
"951","KA180308","550"
"952","IB010019","550"
"953","KA070140","550"
"954","TK060065","550"
"955","KA150030","550"
"956","CH040318","550"
"957","SA050014","550"
"958","IB070055","550"
"959","KA070350","550"
"960","IB070076","550"
"961","KA160101","550"
"962","KA160254","550"
"963","IB050007","550"
"964","KA070510","550"
"965","KA070306","550"
"966","IB050055","550"
"967","KA150071","549"
"968","SA130021","549"
"969","KA160039","549"
"970","IB050057","549"
"971","KA110114","549"
"972","CH010031","549"
"973","CH040030","549"
"974","KA110196","549"
"975","YA040039","549"
"976","GU010089","549"
"977","KA160266","549"
"978","YA040044","549"
"979","KA160117","549"
"980","TK130118","548"
"981","CH040084","548"
"982","YA010104","548"
"983","KA070052","548"
"984","NA060004","548"
"985","KA160149","548"
"986","KA070032","548"
"987","KA070229","548"
"988","KA110132","548"
"989","GU020275","548"
"990","YA010048","548"
"991","YA010075","548"
"992","KA110014","548"
"993","CH040259","548"
"994","CH040163","548"
"995","IB080077","548"
"996","IB050040","548"
"997","KA110177","548"
"998","IB100033","548"
"999","TK040123","547"
"1000","KA020066","547"
"1001","NA030099","547"
"1002","IB100051","547"
"1003","GU010082","547"
"1004","YA010012","547"
"1005","KA150140","547"
"1006","KA010099","547"
"1007","KA110063","547"
"1008","KA110271","547"
"1009","GU010072","547"
"1010","TK060275","547"
"1011","TK060022","547"
"1012","KA040009","547"
"1013","CH040268","547"
"1014","IB020034","547"
"1015","KA070179","547"
"1016","TK060392","547"
"1017","YA040010","547"
"1018","IB070029","547"
"1019","KA010213","546"
"1020","TC030077","546"
"1021","KA010198","546"
"1022","IB040627","546"
"1023","GU050006","546"
"1024","KA070226","546"
"1025","IB040433","546"
"1026","IB040275","546"
"1027","SA020007","546"
"1028","TK130015","546"
"1029","IB040564","546"
"1030","KA140040","546"
"1031","TK130086","546"
"1032","KA070278","546"
"1033","TK060306","545"
"1034","IB080057","545"
"1035","CH010005","545"
"1036","TK040002","545"
"1037","IB050067","545"
"1038","KA150043","545"
"1039","KA020052","545"
"1040","SA050018","545"
"1041","KA160154","545"
"1042","KA120067","545"
"1043","IB050039","545"
"1044","KA160025","545"
"1045","SA020024","545"
"1046","KA110128","545"
"1047","TK130028","545"
"1048","SA020018","544"
"1049","GU030264","544"
"1050","IB080069","544"
"1051","IB050047","544"
"1052","TK090021","544"
"1053","TK060355","544"
"1054","CH010049","544"
"1055","GU010076","544"
"1056","IB080046","544"
"1057","KA070116","544"
"1058","TK040091","544"
"1059","KA070033","544"
"1060","IB040376","544"
"1061","KA020055","544"
"1062","CH040147","544"
"1063","KA160161","544"
"1064","KA110025","543"
"1065","IB040139","543"
"1066","IB050060","543"
"1067","GU040030","543"
"1068","KA010154","543"
"1069","TK130012","543"
"1070","KA010039","543"
"1071","YA010076","543"
"1072","IB020014","543"
"1073","CH040176","543"
"1074","KA040003","543"
"1075","KA120049","543"
"1076","KA160071","543"
"1077","KA160065","543"
"1078","CH040360","543"
"1079","KA070221","543"
"1080","KA070346","542"
"1081","KA070036","542"
"1082","KA070276","542"
"1083","KA010159","542"
"1084","KA100022","542"
"1085","YA010045","542"
"1086","KA110276","542"
"1087","CH040052","542"
"1088","NA060041","542"
"1089","IB070013","542"
"1090","KA150060","542"
"1091","CH020011","542"
"1092","IB040461","542"
"1093","CH040302","542"
"1094","NA060025","541"
"1095","TK060286","541"
"1096","KA150120","541"
"1097","KA110285","541"
"1098","NA060007","541"
"1099","TK040190","541"
"1100","CH040168","541"
"1101","IB040365","541"
"1102","IB040013","541"
"1103","KA150007","541"
"1104","KA150169","541"
"1105","CH040387","541"
"1106","IB020030","541"
"1107","IB090008","541"
"1108","KA020011","541"
"1109","KA010208","541"
"1110","KA010041","540"
